id,name,type,code,full_path,parent_id:id
thanhphohanoi,Thành phố Hà Nội,province,01,Thành phố Hà Nội,
tinhhagiang,Tỉnh Hà Giang,province,02,Tỉnh Hà Giang,
tinhcaobang,Tỉnh Cao Bằng,province,04,Tỉnh Cao Bằng,
tinhbackan,Tỉnh Bắc Kạn,province,06,Tỉnh Bắc Kạn,
tinhtuyenquang,Tỉnh Tuyên Quang,province,08,Tỉnh Tuyên Quang,
tinhlaocai,Tỉnh Lào Cai,province,10,Tỉnh Lào Cai,
tinhdienbien,Tỉnh Điện Biên,province,11,Tỉnh Điện Biên,
tinhlaichau,Tỉnh Lai Châu,province,12,Tỉnh Lai Châu,
tinhsonla,Tỉnh Sơn La,province,14,Tỉnh Sơn La,
tinhyenbai,Tỉnh Yên Bái,province,15,Tỉnh Yên Bái,
tinhhoabinh,Tỉnh Hoà Bình,province,17,Tỉnh Hoà Bình,
tinhthainguyen,Tỉnh Thái Nguyên,province,19,Tỉnh Thái Nguyên,
tinhlangson,Tỉnh Lạng Sơn,province,20,Tỉnh Lạng Sơn,
tinhquangninh,Tỉnh Quảng Ninh,province,22,Tỉnh Quảng Ninh,
tinhbacgiang,Tỉnh Bắc Giang,province,24,Tỉnh Bắc Giang,
tinhphutho,Tỉnh Phú Thọ,province,25,Tỉnh Phú Thọ,
tinhvinhphuc,Tỉnh Vĩnh Phúc,province,26,Tỉnh Vĩnh Phúc,
tinhbacninh,Tỉnh Bắc Ninh,province,27,Tỉnh Bắc Ninh,
tinhhaiduong,Tỉnh Hải Dương,province,30,Tỉnh Hải Dương,
thanhphohaiphong,Thành phố Hải Phòng,province,31,Thành phố Hải Phòng,
tinhhungyen,Tỉnh Hưng Yên,province,33,Tỉnh Hưng Yên,
tinhthaibinh,Tỉnh Thái Bình,province,34,Tỉnh Thái Bình,
tinhhanam,Tỉnh Hà Nam,province,35,Tỉnh Hà Nam,
tinhnamdinh,Tỉnh Nam Định,province,36,Tỉnh Nam Định,
tinhninhbinh,Tỉnh Ninh Bình,province,37,Tỉnh Ninh Bình,
tinhthanhhoa,Tỉnh Thanh Hóa,province,38,Tỉnh Thanh Hóa,
tinhnghean,Tỉnh Nghệ An,province,40,Tỉnh Nghệ An,
tinhhatinh,Tỉnh Hà Tĩnh,province,42,Tỉnh Hà Tĩnh,
tinhquangbinh,Tỉnh Quảng Bình,province,44,Tỉnh Quảng Bình,
tinhquangtri,Tỉnh Quảng Trị,province,45,Tỉnh Quảng Trị,
thanhphohue,Thành phố Huế,province,46,Thành phố Huế,
thanhphodanang,Thành phố Đà Nẵng,province,48,Thành phố Đà Nẵng,
tinhquangnam,Tỉnh Quảng Nam,province,49,Tỉnh Quảng Nam,
tinhquangngai,Tỉnh Quảng Ngãi,province,51,Tỉnh Quảng Ngãi,
tinhbinhdinh,Tỉnh Bình Định,province,52,Tỉnh Bình Định,
tinhphuyen,Tỉnh Phú Yên,province,54,Tỉnh Phú Yên,
tinhkhanhhoa,Tỉnh Khánh Hòa,province,56,Tỉnh Khánh Hòa,
tinhninhthuan,Tỉnh Ninh Thuận,province,58,Tỉnh Ninh Thuận,
tinhbinhthuan,Tỉnh Bình Thuận,province,60,Tỉnh Bình Thuận,
