id,service_price_id/id,name,component_name,amount,unit,description
spc_1,serviceprice_1,THG,Giá thu gom,61000,tháng,"Phí thu gom hộ gia đình theo tháng"
spc_2,serviceprice_1,VC,Giá vận chuyển,23000,tháng,"Phí vận chuyển hộ gia đình theo tháng"
spc_3,serviceprice_2,THG,Phí thu gom,120,kg,"Phí thu gom rác nhóm 1"
spc_4,serviceprice_2,XL,Phí xử lý,120,kg,"Phí xử lý rác nhóm 1"
spc_5,serviceprice_3,THG,Phí thu gom,120,kg,"Phí thu gom rác nhóm 2"
spc_6,serviceprice_3,XL,Phí xử lý,120,kg,"Phí xử lý rác nhóm 2"
spc_7,serviceprice_4,THG,Phí thu gom,120,kg,"Phí thu gom rác nhóm 3"
spc_8,serviceprice_4,XL,Phí xử lý,120,kg,"Phí xử lý rác nhóm 3"
spc_9,serviceprice_5,THG,Giá thu gom,435,kg,"Phí thu gom nhóm 4"
spc_10,serviceprice_5,VC,Giá vận chuyển,365,kg,"Phí vận chuyển nhóm 4"
