id,collection_unit_id/id,service_id/id,status
unitservice_1,collectionunit_mtx,service_1,active
unitservice_2,collectionunit_mtx,service_2,active
unitservice_3,collectionunit_mtx,service_3,active
unitservice_4,collectionunit_mtx,service_4,active
unitservice_5,collectionunit_mtx,service_5,active
unitservice_6,collectionunit_vsd,service_1,active
unitservice_7,collectionunit_vsd,service_2,active
unitservice_8,collectionunit_vsd,service_3,active
unitservice_9,collectionunit_vsd,service_4,active
unitservice_10,collectionunit_vsd,service_5,active
